,City,Country,Lat,Lng,Hotel Name
281,sjovegan,NO,68.87,17.85,Garsnes Brygge
282,khandbari,NP,27.37,87.2,Hotel Barun Sankhuwasabha
283,college,US,64.86,-147.8,La Quinta Inn & Suites by Wyndham Fairbanks Airport
284,camden,US,39.78,-74.97,
285,hokitika,NZ,-42.72,170.97,Pioneer Hotel
286,georgetown,MY,5.41,100.34,"Eastern & Oriental Hotel, Penang"
287,deputatskiy,RU,69.3,139.9,
288,guerrero negro,MX,17.67,-100.0,
289,beira,MZ,-19.84,34.84,Beira Terrace Hotel
290,ocos,GT,14.51,-92.19,
291,pinega,RU,64.7,43.39,"Gostinitsa ""Aeroport"""
292,agropoli,IT,40.35,15.0,B&B Aurora
293,mishan,CN,45.55,131.88,贵宾楼酒店
294,port blair,CD,-7.03,29.76,
295,salani,IN,29.96,79.71,
296,jalu,LY,29.03,21.55,Jalu Hotel
297,pilot butte,US,40.82,-114.23,
298,plettenberg bay,DE,51.22,7.88,"Hotel Klinger, 3 komfort"
299,marawi,PH,8.0,124.29,Marawi Resort Hotel
300,chumphon,TH,10.33,98.83,
301,sept-iles,CA,50.2,-66.38,Château Arnaud
302,ixtapa,MX,20.7,-105.2,Flamingo Vallarta Hotel & Marina
303,pasighat,IN,28.07,95.33,OYO 44691 Hotel East
304,ponta delgada,PT,38.73,-28.27,Blue Planet São Jorge Azores AL
305,padang,ID,-0.95,100.35,Mercure Padang
306,udachnyy,RU,66.42,112.4,
307,puerto lopez,ES,36.59,-6.23,Hotel Puertobahia & Spa
308,puerto escondido,ES,36.59,-6.23,Hotel Puertobahia & Spa
309,bairiki,KI,1.33,172.98,Fema Lodge
310,porto walter,PT,41.15,-8.61,Sheraton Porto Hotel & Spa
311,anadyr,RU,64.75,177.48,Chukotka hotel
312,makakilo city,US,21.35,-158.09,Marriott's Ko Olina Beach Club
313,flinders,AU,-34.58,150.86,Shellharbour Resort & Conference Centre
314,sarany,RU,58.5,58.88,
315,ulaanbaatar,MN,47.91,106.88,The Blue Sky Hotel and Tower
316,baruun-urt,MN,46.68,113.28,Эрхэт зочид буудал
317,hofn,IS,64.25,-15.21,Milk Factory
318,pevek,RU,69.7,170.31,Munitsipal'naya Gostinitsa
319,saint-pierre,RE,-21.34,55.48,LODGE PALMAE
320,asau,RO,46.43,26.4,Pensiunea Sophia
321,jardim de piranhas,BR,-21.48,-56.14,Vitória Hotel
322,selfoss,IS,63.93,-21.0,Hotel Selfoss & SPA
323,namibe,AO,-15.2,12.15,Hotel ibis Styles Iu Namibe
324,turukhansk,RU,65.82,87.98,"ООО ""Туруханская пушнина"""
325,angoche,MZ,-16.23,39.91,HESADA APARTMENTS
326,kununurra,AU,-15.77,128.73,Hotel Kununurra
327,marzuq,YE,14.4,46.47,
328,weihe,CN,33.0,105.32,
329,little current,US,35.35,-96.67,
330,san jose,ML,13.3,-4.9,Hôtel Teriya
331,humen,CN,22.82,113.67,Grand Noble Hotel
332,vao,NC,-22.67,167.48,OURE TERA beach resort
333,whitehorse,CA,60.72,-135.05,Best Western Gold Rush Inn
334,erzin,TR,36.96,36.2,Hattusa Vacation Thermal Club Erzin
335,narsaq,GL,60.92,-46.05,Hotel Narsaq
336,kangaatsiaq,GL,68.31,-53.46,
337,cervo,ES,43.67,-7.41,Hotel Sargo
338,talavera,PH,15.62,120.93,
339,chanika,TZ,-5.42,38.02,Handeni Hilltown Hotel
340,luderitz,,-26.65,15.16,Kairos Cottage
341,linxia,CN,35.6,103.21,Linxia Hotel
342,tazovskiy,RU,67.47,78.7,"Gostevoy Dom ""Brusnika"""
343,tiksi,RU,71.69,128.87,Arktika
344,qasigiannguit,GL,68.82,-51.19,Qasigiannguit
345,coquimbo,CL,-29.95,-71.34,Apart Hotel Cabaña
346,sakakah,SA,29.97,40.21,Raoum Inn Hotel
347,safonovo,RU,55.15,33.22,"Komfort-310, Gk"
348,qui nhon,BR,-10.97,-37.6,
349,tshane,BW,-24.02,21.87,
350,krasnoselkup,RU,65.7,82.47,Gostinitsa Krasnosel'kup
351,mattawa,US,46.74,-119.9,
352,fairbanks,US,64.84,-147.72,Best Western Plus Chena River Lodge
353,chapais,CA,49.78,-74.85,Hôtel Opémiska
354,nouakchott,MR,18.09,-15.98,AZALAÏ HOTEL NOUAKCHOTT (MARHABA )
355,comodoro rivadavia,BR,-13.66,-59.79,Rossi Hotel
